vKurbelwinkel	p_Zyl_1	p_Ein	p_Aus
[KWnZOT]	[bar]	[bar]	[bar]
-297.8	2.2832	2.2075	2.7469
-297.7	2.2826	2.207	2.7474
-297.6	2.2819	2.2064	2.748
-297.5	2.2813	2.2059	2.7485
-297.4	2.2806	2.2053	2.7491
-297.3	2.28	2.2048	2.7497
-297.2	2.2795	2.2042	2.7503
-297.1	2.2789	2.2037	2.7509
-297	2.2782	2.2032	2.7515
-296.9	2.2775	2.2027	2.7521
-296.8	2.2769	2.2022	2.7527
-296.7	2.2762	2.2017	2.7534
-296.6	2.2754	2.2012	2.754
-296.5	2.2747	2.2007	2.7546
-296.4	2.2739	2.2003	2.7552
-296.3	2.2731	2.1998	2.7559
-296.2	2.2724	2.1994	2.7566
-296.1	2.2716	2.1989	2.7572
-296	2.2708	2.1985	2.7579
-295.9	2.2701	2.1981	2.7586
-295.8	2.2692	2.1977	2.7593
-295.7	2.2684	2.1973	2.76
-295.6	2.2677	2.1969	2.7607
-295.5	2.2669	2.1965	2.7615
-295.4	2.2661	2.1961	2.7622
-295.3	2.2652	2.1956	2.7631
-295.2	2.2644	2.1952	2.7639
-295.1	2.2636	2.1948	2.7648
-295	2.2628	2.1943	2.7656
-294.9	2.2621	2.1939	2.7666
-294.8	2.2613	2.1935	2.7675
-294.7	2.2604	2.1931	2.7685
-294.6	2.2596	2.1927	2.7695
-294.5	2.2588	2.1923	2.7705
-294.4	2.258	2.1919	2.7716
-294.3	2.2572	2.1915	2.7726
-294.2	2.2564	2.1911	2.7737
-294.1	2.2556	2.1908	2.7747
-294	2.2548	2.1904	2.7757
-293.9	2.254	2.19	2.7768
-293.8	2.2533	2.1896	2.7778
-293.7	2.2525	2.1891	2.7788
-293.6	2.2517	2.1887	2.7797
-293.5	2.251	2.1882	2.7807
-293.4	2.2504	2.1878	2.7816
-293.3	2.2497	2.1874	2.7825
-293.2	2.2491	2.187	2.7834
-293.1	2.2483	2.1865	2.7842
-293	2.2476	2.1861	2.7851
-292.9	2.247	2.1857	2.7858
-292.8	2.2462	2.1853	2.7866
-292.7	2.2456	2.185	2.7874
-292.6	2.2449	2.1846	2.7882
-292.5	2.2442	2.1842	2.7889
-292.4	2.2435	2.1838	2.7896
-292.3	2.2428	2.1834	2.7904
-292.2	2.2421	2.1829	2.7911
-292.1	2.2413	2.1825	2.7919
-292	2.2406	2.1821	2.7927
-291.9	2.24	2.1817	2.7934
-291.8	2.2393	2.1812	2.7942
-291.7	2.2387	2.1807	2.7949
-291.6	2.2379	2.1803	2.7957
-291.5	2.2371	2.1799	2.7966
-291.4	2.2364	2.1794	2.7974
-291.3	2.2357	2.179	2.7982
-291.2	2.2351	2.1786	2.7991
-291.1	2.2345	2.1781	2.7999
-291	2.2338	2.1777	2.8007
-290.9	2.2331	2.1773	2.8016
-290.8	2.2323	2.1769	2.8024
-290.7	2.2317	2.1765	2.8032
-290.6	2.231	2.1761	2.804
-290.5	2.2303	2.1756	2.8048
-290.4	2.2297	2.1752	2.8055
-290.3	2.2291	2.1747	2.8062
