Kurbelwinkel	Hub_EV
[KWnEO]	[mm]
 98.0	 0.945000
 98.1	 0.941000
 98.2	 0.936000
 98.3	 0.932000
 98.4	 0.927000
 98.5	 0.923000
 98.6	 0.919000
 98.7	 0.914000
 98.8	 0.910000
 98.9	 0.905000
 99.0	 0.901000
 99.1	 0.896000
 99.2	 0.892000
 99.3	 0.887000
 99.4	 0.882000
 99.5	 0.878000
 99.6	 0.873000
 99.7	 0.869000
 99.8	 0.864000
 99.9	 0.860000
100.0	 0.855000
100.1	 0.850000
100.2	 0.845800
100.3	 0.841200
100.4	 0.836500
100.5	 0.831900
100.6	 0.827200
100.7	 0.822600
100.8	 0.817900
100.9	 0.813200
101.0	 0.808500
101.1	 0.803800
101.2	 0.799000
101.3	 0.794300
101.4	 0.789600
101.5	 0.784800
101.6	 0.780100
101.7	 0.775300
101.8	 0.770500
101.9	 0.765700
102.0	 0.760900
102.1	 0.756100
102.2	 0.751300
102.3	 0.746500
102.4	 0.741600
102.5	 0.736800
102.6	 0.731900
102.7	 0.727100
102.8	 0.722200
102.9	 0.717300
103.0	 0.712400
103.1	 0.707500
103.2	 0.702500
103.3	 0.697600
103.4	 0.692700
103.5	 0.687700
103.6	 0.682800
103.7	 0.677800
103.8	 0.672800
103.9	 0.667800
104.0	 0.662800
104.1	 0.657800
104.2	 0.652800
104.3	 0.647700
104.4	 0.642700
104.5	 0.637600
104.6	 0.632500
104.7	 0.627400
104.8	 0.622300
104.9	 0.617200
105.0	 0.612100
105.1	 0.607000
105.2	 0.601800
105.3	 0.596700
105.4	 0.591600
105.5	 0.586400
105.6	 0.581300
105.7	 0.576100
105.8	 0.570900
105.9	 0.565700
106.0	 0.560400
106.1	 0.555200
106.2	 0.550000
106.3	 0.544700
106.4	 0.539500
106.5	 0.534200
106.6	 0.528900
106.7	 0.523600
106.8	 0.518300
106.9	 0.513000
107.0	 0.507700
107.1	 0.502400
107.2	 0.497000
107.3	 0.491700
107.4	 0.486300
107.5	 0.481000
107.6	 0.475600
107.7	 0.470200
107.8	 0.464800
107.9	 0.459400
108.0	 0.453900
108.1	 0.448500
108.2	 0.443100
108.3	 0.437600
108.4	 0.432200
108.5	 0.426700
108.6	 0.421200
108.7	 0.415700
108.8	 0.410100
108.9	 0.404600
109.0	 0.399100
109.1	 0.393600
109.2	 0.388000
109.3	 0.382500
109.4	 0.376900
109.5	 0.371300
109.6	 0.365700
109.7	 0.360100
109.8	 0.354500
109.9	 0.348800
110.0	 0.343200
110.1	 0.337600
110.2	 0.331900
110.3	 0.326200
110.4	 0.320600
110.5	 0.314900
110.6	 0.309200
110.7	 0.303500
110.8	 0.297800
110.9	 0.292100
111.0	 0.286300
111.1	 0.280600
111.2	 0.274800
111.3	 0.269100
111.4	 0.263300
111.5	 0.257500
111.6	 0.251700
111.7	 0.245900
111.8	 0.240100
111.9	 0.234200
112.0	 0.228400
112.1	 0.222600
112.2	 0.216700
112.3	 0.210800
112.4	 0.205000
112.5	 0.199100
112.6	 0.193200
112.7	 0.187300
112.8	 0.181400
112.9	 0.175500
113.0	 0.169500
113.1	 0.163600
113.2	 0.157600
113.3	 0.151700
113.4	 0.145700
113.5	 0.139700
113.6	 0.133800
113.7	 0.127800
113.8	 0.121800
113.9	 0.115800
114.0	 0.109800
114.1	 0.103800
114.2	 0.097700
