Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	p_mitWandwärmeverlust [Pa]	p_Reale Ladung [Pa]	p_Verbrennungslage [Pa]	p_HC_CO [Pa]	p_realer Brennverlauf [Pa]
-149.1	 0.0013335457948558194	 4.682185029491488E-4	 46884.5633668248	 48321.102291640236	 48321.102291640236	 48321.102291640236	 46936.22792671012	 
-149.0	 0.0013419328753266108	 4.6807095402861333E-4	 46963.77456487152	 48341.101013937754	 48341.101013937754	 48341.101013937754	 47015.648460321056	 
-148.9	 0.001350319955797402	 4.679229126291182E-4	 47043.079990806655	 48361.181226410685	 48361.181226410685	 48361.181226410685	 47095.17320553108	 
-148.8	 0.0013587070362681933	 4.6777437875939083E-4	 47122.48004554739	 48381.34308867252	 48381.34308867252	 48381.34308867252	 47174.80257292753	 
-148.7	 0.0013670941167389847	 4.6762535242868286E-4	 47201.97513107433	 48401.5867610726	 48401.5867610726	 48401.5867610726	 47254.53697425246	 
-148.6	 0.001375481197209776	 4.6747583364677327E-4	 47221.144685669875	 48421.91240469847	 48421.91240469847	 48421.91240469847	 47273.968360300874	 
-148.5	 0.0013838682776805672	 4.67325822423974E-4	 47209.83085587579	 48442.32018137825	 48442.32018137825	 48442.32018137825	 47262.92078616854	 
-148.4	 0.0013922553581513586	 4.6717531877113407E-4	 47227.95306336873	 48462.810253682976	 48462.810253682976	 48462.810253682976	 47281.30045334552	 
-148.3	 0.00140064243862215	 4.670243226996438E-4	 47246.15400320429	 48483.382784928996	 48483.382784928996	 48483.382784928996	 47299.75957608066	 
-148.2	 0.0014090295190929412	 4.668728342214398E-4	 47218.36925233827	 48504.03793918037	 48504.03793918037	 48504.03793918037	 47272.24414832104	 
-148.1	 0.0014174165995637325	 4.6672085334900984E-4	 47144.52654519287	 48524.77588125128	 48524.77588125128	 48524.77588125128	 47198.67260651874	 
-148.0	 0.001425803680034524	 4.6656838009539623E-4	 47070.66658446519	 48545.59677670841	 48545.59677670841	 48545.59677670841	 47125.07054060064	 
-147.9	 0.0014341907605053153	 4.6641541447420173E-4	 47035.48322597859	 48566.50079187343	 48566.50079187343	 48566.50079187343	 47090.1228808779	 
-147.8	 0.0014425778409761065	 4.662619564995931E-4	 47039.0419476081	 48587.488093825435	 48587.488093825435	 48587.488093825435	 47093.90290494388	 
